|6.6.6
mars1_1.tab                                                                                         
           1
P(bar)  
   234999.00000000000     
   234999.00000000000     
  173529599
           3
P(bar)         T(K)           rho,kg/m3     
  14971.9        1354.09        3473.23     
  14995.4        1354.23        3473.29     
  15018.9        1354.36        3473.34     
  15042.4        1354.50        3473.40     
  15065.9        1354.64        3473.45     
  15089.4        1354.78        3473.50     
  15112.9        1354.92        3473.55     
  15136.4        1355.05        3473.60     
  15160.0        1355.19        3473.66     
  15183.5        1355.33        3473.71     
  15207.0        1355.47        3473.76     
  15230.5        1355.60        3473.81     
  15254.0        1355.74        3473.86     
  15277.5        1355.88        3473.91     
  15301.0        1356.02        3473.96     
  15324.5        1356.16        3474.01     
  15348.0        1356.29        3474.06     
  15371.5        1356.43        3474.11     
  15395.0        1356.57        3474.16     
  15418.5        1356.71        3474.21     
  15442.0        1356.85        3474.26     
  15465.5        1356.98        3474.31     
  15489.0        1357.12        3474.36     
  15512.5        1357.26        3474.41     
  15536.0        1357.40        3474.46     
  15559.5        1357.54        3474.51     
  15583.0        1357.67        3474.56     
  15606.5        1357.81        3474.61     
  15630.0        1357.95        3474.66     
  15653.5        1358.09        3474.72     
  15677.0        1358.23        3474.77     
  15700.5        1358.37        3474.82     
  15724.0        1358.50        3474.87     
  15747.5        1358.64        3474.92     
  15771.0        1358.78        3474.97     
  15794.5        1358.92        3475.02     
  15818.0        1359.06        3475.07     
  15841.5        1359.20        3475.12     
  15865.0        1359.34        3475.17     
  15888.5        1359.47        3475.22     
  15912.0        1359.61        3475.27     
  15935.5        1359.75        3475.32     
  15959.0        1359.89        3475.37     
  15982.5        1360.03        3475.42     
  16006.0        1360.17        3475.47     
  16029.5        1360.31        3475.52     
  16053.0        1360.45        3475.57     
  16076.5        1360.59        3475.62     
  16100.0        1360.72        3475.67     
  16123.5        1360.86        3475.72     
  16147.0        1361.00        3475.77     
  16170.5        1361.14        3475.82     
  16194.1        1361.28        3475.87     
  16217.6        1361.42        3475.92     
  16241.1        1361.56        3475.97     
  16264.6        1361.70        3476.02     
  16288.1        1361.84        3476.07     
  16311.6        1361.98        3476.12     
  16335.1        1362.12        3476.17     
  16358.6        1362.26        3476.09     
  16382.1        1362.40        3476.14     
  16405.6        1362.53        3476.19     
  16429.1        1362.67        3476.24     
  16452.6        1362.81        3476.29     
  16476.1        1362.95        3476.34     
  16499.6        1363.09        3476.39     
  16523.1        1363.23        3476.44     
  16546.6        1363.37        3476.47     
  16570.1        1363.51        3476.52     
  16593.6        1363.65        3476.57     
  16617.1        1363.79        3476.62     
  16640.6        1363.93        3476.67     
  16664.1        1364.07        3476.72     
  16687.6        1364.21        3476.77     
  16711.1        1364.35        3476.82     
  16734.6        1364.49        3476.90     
  16758.1        1364.63        3476.95     
  16781.6        1364.77        3477.01     
  16805.1        1364.91        3477.06     
  16828.6        1365.05        3477.11     
  16852.1        1365.19        3477.16     
  16875.6        1365.33        3477.21     
  16899.1        1365.47        3477.26     
  16922.6        1365.61        3477.31     
  16946.1        1365.75        3477.36     
  16969.6        1365.89        3477.41     
  16993.1        1366.03        3477.46     
  17016.6        1366.17        3477.51     
  17040.1        1366.31        3477.56     
  17063.6        1366.45        3477.62     
  17087.1        1366.59        3477.67     
  17110.6        1366.73        3477.72     
  17134.1        1366.87        3477.77     
  17157.6        1367.01        3477.82     
  17181.1        1367.15        3477.87     
  17204.6        1367.29        3477.92     
  17228.1        1367.44        3477.97     
  17251.7        1367.58        3478.02     
  17275.2        1367.72        3478.07     
  17298.7        1367.86        3478.12     
  17322.2        1368.00        3478.17     
  17345.7        1368.14        3478.22     
  17369.2        1368.28        3478.28     
  17392.7        1368.42        3478.33     
  17416.2        1368.56        3478.38     
  17439.7        1368.70        3478.43     
  17463.2        1368.84        3478.48     
  17486.7        1368.98        3478.53     
  17510.2        1369.12        3478.58     
  17533.7        1369.27        3478.63     
  17557.2        1369.41        3478.68     
  17580.7        1369.55        3478.73     
  17604.2        1369.69        3478.78     
  17627.7        1369.83        3478.83     
  17651.2        1369.97        3478.88     
  17674.7        1370.11        3478.93     
  17698.2        1370.25        3478.99     
  17721.7        1370.39        3479.09     
  17745.2        1370.54        3479.14     
  17768.7        1370.68        3479.20     
  17792.2        1370.82        3479.25     
  17815.7        1370.96        3479.30     
  17839.2        1371.10        3479.35     
  17862.7        1371.24        3479.40     
