|6.6.6
mars_bf97_atl_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            NaAl           ca-pv          Pv            
  8901.00        555.853        19.0074        19.0074        96.6513                 NaN   21.5369        32.6588       0.371134                 NaN   19.0074        19.0074        19.0074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9001.00        558.673        19.3657        19.3657        96.8239                 NaN   21.8343        32.9925       0.820174                 NaN   19.3657        19.3657        19.3657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9101.00        561.487        19.3654        19.3654        96.8239                 NaN   21.8339        32.9921       0.820185                 NaN   19.3654        19.3654        19.3654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9201.00        564.297        19.3650        19.3650        96.8239                 NaN   21.8336        32.9918       0.820195                 NaN   19.3650        19.3650        19.3650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9301.00        567.102        25.9872        25.9872        100.000                 NaN   36.6346        39.1332        9.12796                 NaN   25.9872        25.9872        25.9872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9401.00        569.901        25.9870        25.9870        100.000                 NaN   36.6343        39.1330        9.12807                 NaN   25.9870        25.9870        25.9870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9501.00        572.696        25.9867        25.9867        100.000                 NaN   36.6341        39.1327        9.12817                 NaN   25.9867        25.9867        25.9867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9601.00        575.485        26.0026        26.0026        100.000                 NaN   28.4334        39.1314        9.12496                 NaN   26.0026        26.0026        26.0026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9701.00        578.269        26.0024        26.0024        100.000                 NaN   28.4332        39.1312        9.12507                 NaN   26.0024        26.0024        26.0024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9801.00        581.048        25.9778        25.9778        100.000                 NaN   36.7052        39.1302        9.13096                 NaN   25.9778        25.9778        25.9778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9901.00        583.822        25.9775        25.9775        100.000                 NaN   36.7050        39.1300        9.13106                 NaN   25.9775        25.9775        25.9775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10001.0        586.591        25.9773        25.9773        100.000                 NaN   36.7048        39.1297        9.13117                 NaN   25.9773        25.9773        25.9773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10101.0        589.355        26.0876        26.0876        100.000                 NaN   27.9500        39.1247        9.09772                 NaN   26.0876        26.0876        26.0876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10201.0        592.114        26.0873        26.0873        100.000                 NaN   27.9498        39.1244        9.09783                 NaN   26.0873        26.0873        26.0873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10301.0        594.868        26.0871        26.0871        100.000                 NaN   27.9496        39.1242        9.09793                 NaN   26.0871        26.0871        26.0871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10401.0        597.617        26.0869        26.0869        100.000                 NaN   27.9493        39.1239        9.09804                 NaN   26.0869        26.0869        26.0869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10501.0        600.360        26.0866        26.0866        100.000                 NaN   27.9491        39.1237        9.09814                 NaN   26.0866        26.0866        26.0866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10601.0        603.099        26.0864        26.0864        100.000                 NaN   27.9488        39.1234        9.09825                 NaN   26.0864        26.0864        26.0864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10701.0        605.833        26.0862        26.0862        100.000                 NaN   27.9486        39.1232        9.09835                 NaN   26.0862        26.0862        26.0862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10801.0        608.561        26.0859        26.0859        100.000                 NaN   27.9484        39.1229        9.09846                 NaN   26.0859        26.0859        26.0859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10901.0        611.285        26.0857        26.0857        100.000                 NaN   27.9481        39.1227        9.09856                 NaN   26.0857        26.0857        26.0857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11001.0        614.004        26.0854        26.0854        100.000                 NaN   27.9479        39.1224        9.09867                 NaN   26.0854        26.0854        26.0854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
