|6.6.6
mars1_2.tab                                                                                         
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           3
P(bar)         T(K)           rho,kg/m3     
  6601.00        1307.58        3339.57     
  6611.00        1307.63        3339.66     
  6621.00        1307.68        3339.76     
  6631.00        1307.73        3339.86     
  6641.00        1307.79        3339.95     
  6651.00        1307.84        3340.05     
  6661.00        1307.89        3340.14     
  6671.00        1307.94        3340.24     
  6681.00        1308.00        3340.33     
  6691.00        1308.05        3340.43     
  6701.00        1308.10        3340.53     
  6711.00        1308.15        3340.62     
  6721.00        1308.20        3340.72     
  6731.00        1308.26        3340.81     
  6741.00        1308.31        3340.91     
  6751.00        1308.36        3341.01     
  6761.00        1308.41        3341.10     
  6771.00        1308.47        3341.20     
  6781.00        1308.52        3341.29     
  6791.00        1308.57        3341.31     
  6801.00        1308.62        3341.34     
  6811.00        1308.68        3341.37     
  6821.00        1308.73        3341.40     
  6831.00        1308.78        3341.43     
  6841.00        1308.83        3341.45     
  6851.00        1308.89        3341.48     
  6861.00        1308.94        3341.51     
  6871.00        1308.99        3341.54     
  6881.00        1309.05        3341.57     
  6891.00        1309.10        3341.59     
  6901.00        1309.15        3341.62     
  6911.00        1309.20        3341.65     
  6921.00        1309.26        3341.68     
  6931.00        1309.31        3341.71     
  6941.00        1309.36        3341.74     
  6951.00        1309.41        3341.76     
  6961.00        1309.47        3341.79     
  6971.00        1309.52        3341.82     
  6981.00        1309.57        3341.85     
  6991.00        1309.62        3341.88     
  7001.00        1309.68        3341.90     
  7011.00        1309.73        3341.93     
  7021.00        1309.78        3341.96     
  7031.00        1309.84        3341.99     
  7041.00        1309.89        3342.02     
  7051.00        1309.94        3342.04     
  7061.00        1309.99        3342.07     
  7071.00        1310.05        3342.10     
  7081.00        1310.10        3342.13     
  7091.00        1310.15        3342.16     
  7101.00        1310.20        3342.18     
  7111.00        1310.26        3342.21     
  7121.00        1310.31        3342.24     
  7131.00        1310.36        3342.27     
  7141.00        1310.42        3342.30     
  7151.00        1310.47        3342.33     
  7161.00        1310.52        3372.26     
  7171.00        1310.57        3372.29     
  7181.00        1310.63        3372.32     
  7191.00        1310.68        3372.35     
  7201.00        1310.73        3372.37     
  7211.00        1310.79        3372.40     
  7221.00        1310.84        3372.43     
  7231.00        1310.89        3372.46     
  7241.00        1310.94        3372.49     
  7251.00        1311.00        3372.51     
  7261.00        1311.05        3372.54     
  7271.00        1311.10        3372.57     
  7281.00        1311.16        3372.60     
  7291.00        1311.21        3372.62     
  7301.00        1311.26        3372.65     
  7311.00        1311.31        3372.68     
  7321.00        1311.37        3372.71     
  7331.00        1311.42        3372.74     
  7341.00        1311.47        3372.76     
  7351.00        1311.53        3372.79     
  7361.00        1311.58        3372.82     
  7371.00        1311.63        3372.85     
  7381.00        1311.69        3372.87     
  7391.00        1311.74        3372.90     
  7401.00        1311.79        3372.93     
  7411.00        1311.84        3372.96     
  7421.00        1311.90        3372.99     
  7431.00        1311.95        3373.01     
  7441.00        1312.00        3373.04     
  7451.00        1312.06        3373.07     
  7461.00        1312.11        3373.10     
  7471.00        1312.16        3373.12     
  7481.00        1312.22        3373.15     
  7491.00        1312.27        3373.18     
  7501.00        1312.32        3373.21     
  7511.00        1312.37        3373.23     
  7521.00        1312.43        3373.26     
  7531.00        1312.48        3373.29     
  7541.00        1312.53        3373.35     
  7551.00        1312.59        3373.42     
  7561.00        1312.64        3373.49     
  7571.00        1312.69        3373.56     
  7581.00        1312.75        3373.63     
  7591.00        1312.80        3373.70     
  7601.00        1312.85        3373.77     
  7611.00        1312.91        3373.84     
  7621.00        1312.96        3373.91     
  7631.00        1313.01        3373.98     
  7641.00        1313.07        3374.05     
  7651.00        1313.12        3374.12     
  7661.00        1313.17        3374.19     
  7671.00        1313.23        3374.26     
  7681.00        1313.28        3374.33     
  7691.00        1313.33        3374.40     
  7701.00        1313.39        3374.47     
  7711.00        1313.44        3374.54     
  7721.00        1313.49        3374.61     
  7731.00        1313.55        3374.68     
  7741.00        1313.60        3374.75     
  7751.00        1313.65        3374.82     
  7761.00        1313.71        3374.89     
  7771.00        1313.76        3374.96     
  7781.00        1313.81        3375.03     
  7791.00        1313.87        3375.10     
  7801.00        1313.92        3375.17     
  7811.00        1313.97        3375.24     
  7821.00        1314.03        3375.31     
  7831.00        1314.08        3375.38     
  7841.00        1314.13        3375.45     
  7851.00        1314.19        3375.52     
  7861.00        1314.24        3375.59     
  7871.00        1314.29        3375.66     
  7881.00        1314.35        3375.73     
  7891.00        1314.40        3375.80     
  7901.00        1314.45        3375.87     
  7911.00        1314.51        3375.94     
  7921.00        1314.56        3376.01     
  7931.00        1314.61        3376.08     
  7941.00        1314.67        3376.15     
  7951.00        1314.72        3376.22     
  7961.00        1314.77        3376.29     
  7971.00        1314.83        3376.36     
  7981.00        1314.88        3376.43     
  7991.00        1314.93        3376.50     
