|6.6.6
mars_t13_atm_3.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  9001.00        676.432        30.1886        30.1886        100.000                 NaN   42.5362        43.3460        8.57749                 NaN   30.1886        30.1886        30.1886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9101.00        680.037        30.1883        30.1883        100.000                 NaN   42.5359        43.3456        8.57757                 NaN   30.1883        30.1883        30.1883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9201.00        683.631        30.3802                 NaN   100.000                 NaN   43.1472                 NaN   8.54942                 NaN   30.3802        29.7798        29.7798                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9301.00        687.216        30.1817        30.1817        100.000                 NaN   30.5620        43.3435        8.58367                 NaN   30.1817        30.1817        30.1817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9401.00        690.792        30.1892        30.1892        100.000                 NaN   43.3428                 NaN   8.57050                 NaN   30.1892        30.1892        30.1892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9501.00        694.357        30.1888        30.1888        100.000                 NaN   43.3425                 NaN   8.57058                 NaN   30.1888        30.1888        30.1888                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9601.00        697.913        30.1994        30.1994        100.000                 NaN   43.3420                 NaN   8.55583                 NaN   30.1994        30.1994        30.1994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9701.00        701.458        30.1994        30.1994        100.000                 NaN   43.3416                 NaN   8.55247                 NaN   30.1994        30.1994        30.1994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9801.00        704.995        30.2024        30.2024        100.000                 NaN   43.3410                 NaN   8.54915                 NaN   30.2024        30.2024        30.2024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9901.00        708.521        30.2028        30.2028        100.000                 NaN   43.3411                 NaN   8.53308                 NaN   30.2028        30.2028        30.2028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10001.0        712.038        30.2084        30.2084        100.000                 NaN   43.3401                 NaN   8.53740                 NaN   30.2084        30.2084        30.2084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10101.0        715.546        30.2096        30.2096        100.000                 NaN   43.3395                 NaN   8.53697                 NaN   30.2096        30.2096        30.2096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10201.0        719.043        30.2121        30.2121        100.000                 NaN   43.3390                 NaN   8.53246                 NaN   30.2121        30.2121        30.2121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10301.0        722.531        30.2152        30.2152        100.000                 NaN   43.3386                 NaN   8.52584                 NaN   30.2152        30.2152        30.2152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10401.0        726.010        30.2163        30.2163        100.000                 NaN   43.3386                 NaN   8.50894                 NaN   30.2163        30.2163        30.2163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10501.0        729.479        30.2212        30.2212        100.000                 NaN   43.3378                 NaN   8.50849                 NaN   30.2212        30.2212        30.2212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
