|6.6.6
mars_t13_ath_3.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  9201.00        887.628        33.5713                 NaN   100.000                 NaN   45.4094                 NaN            NaN            NaN   33.5713        30.3730        30.3730                 NaN   2.54812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9301.00        892.602        33.5340                 NaN   100.000                 NaN   45.4280                 NaN            NaN            NaN   33.5340        30.4193        30.4193                 NaN   2.54035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9401.00        897.551        33.4951                 NaN   100.000                 NaN   45.4470                 NaN            NaN            NaN   33.4951        30.4676        30.4676                 NaN   2.53201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9501.00        902.473        33.4577                 NaN   100.000                 NaN   45.4650                 NaN            NaN            NaN   33.4577        30.5132        30.5132                 NaN   2.52401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9601.00        907.370        33.4201                 NaN   100.000                 NaN   45.4832                 NaN            NaN            NaN   33.4201        30.5590        30.5590                 NaN   2.51598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9701.00        912.241        33.3722                 NaN   100.000                 NaN   45.4997                 NaN            NaN            NaN   33.3722        30.6069        30.6069                 NaN   2.50266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9801.00        917.086        33.8497                 NaN   100.000                 NaN   44.6598                 NaN            NaN            NaN   33.8497        29.1112        29.1112                 NaN   2.33796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9901.00        921.905        33.3971                 NaN   100.000                 NaN   45.3251                 NaN            NaN            NaN   33.3971        30.3264        30.3264                 NaN   2.43735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10001.0        926.699        33.3963                 NaN   100.000                 NaN   45.3244                 NaN            NaN            NaN   33.3963        30.3259        30.3259                 NaN   2.43736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10101.0        931.467        31.1207                 NaN   100.000                 NaN   42.6184                 NaN   7.49298                 NaN   31.1207        28.8878        28.8878                 NaN   7.49298        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10201.0        936.211        31.1606                 NaN   100.000                 NaN   42.5846                 NaN   7.42578                 NaN   31.1606        28.8201        28.8201                 NaN   7.42578        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
